Index,CRASH DATE,BOROUGH,LATITUDE,LONGITUDE,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLIST INJURED,CYCLIST KILLED,MOTORIST INJURED,MOTORIST KILLED,CONTRIBUTING FACTOR,VEHICLE TYPE
9780,4/13/2022,STATEN ISLAND,40.636623,-74.08179,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Sedan
9781,1/26/2022,BROOKLYN,40.59581,-73.94204,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Sedan
9782,1/26/2022,BRONX,40.84134,-73.83707,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Sedan
9783,1/27/2022,MANHATTAN,40.724876,-73.975174,1,0,1,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9784,1/27/2022,BRONX,40.81099,-73.914856,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9785,1/28/2022,BROOKLYN,40.65159,-73.98112,0,0,0,0,0,0,0,0,Following Too Closely,Sedan
9786,1/31/2022,BROOKLYN,40.660297,-73.947685,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi
9787,1/17/2022,QUEENS,40.70621,-73.75072,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Sedan
9788,1/30/2022,QUEENS,40.69011,-73.81206,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
9789,1/29/2022,QUEENS,40.749928,-73.814026,0,0,0,0,0,0,0,0,Passing Too Closely,Station Wagon/Sport Utility Vehicle
9790,1/25/2022,BROOKLYN,40.700478,-73.92534,0,0,0,0,0,0,0,0,Other Vehicular,Bus
9791,1/30/2022,BROOKLYN,40.646885,-73.94916,0,0,0,0,0,0,0,0,Turning Improperly,Sedan
9792,1/28/2022,QUEENS,40.75112,-73.940605,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9793,1/27/2022,BROOKLYN,40.676937,-73.92183,0,0,0,0,0,0,0,0,Unspecified,Bus
9794,1/30/2022,QUEENS,40.692127,-73.83484,0,0,0,0,0,0,0,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
9795,1/27/2022,BROOKLYN,40.725906,-73.9354,0,0,0,0,0,0,0,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
9796,1/31/2022,QUEENS,40.71114,-73.9035,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9797,1/14/2022,BROOKLYN,40.726913,-73.94187,0,0,0,0,0,0,0,0,Passing Too Closely,Box Truck
9798,1/30/2022,BRONX,40.83609,-73.87524,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9799,1/21/2022,MANHATTAN,40.80654,-73.9564,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9800,1/30/2022,BROOKLYN,40.58546,-73.9891,0,0,0,0,0,0,0,0,Other Vehicular,Station Wagon/Sport Utility Vehicle
9801,1/31/2022,BROOKLYN,40.65388,-74.0037,0,0,0,0,0,0,0,0,Unsafe Speed,Station Wagon/Sport Utility Vehicle
9802,1/28/2022,BROOKLYN,40.6626,-73.91771,0,0,0,0,0,0,0,0,Unspecified,Sedan
9803,1/22/2022,BRONX,40.884235,-73.901146,1,0,1,0,0,0,0,0,Unspecified,Sedan
9804,1/31/2022,BRONX,40.827656,-73.8861,0,0,0,0,0,0,0,0,Passenger Distraction,Sedan
9805,1/30/2022,BROOKLYN,40.667088,-73.948906,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
9806,1/29/2022,QUEENS,40.729595,-73.88025,0,0,0,0,0,0,0,0,Backing Unsafely,Sedan
9807,1/30/2022,BROOKLYN,40.653976,-74.00686,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9808,1/29/2022,BRONX,40.862404,-73.9111,0,0,0,0,0,0,0,0,Unspecified,Sedan
9809,1/29/2022,STATEN ISLAND,40.572872,-74.1466,0,0,0,0,0,0,0,0,Pavement Slippery,Sedan
