CRASH DATE,BOROUGH,LATITUDE,LONGITUDE,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLIST INJURED,CYCLIST KILLED,MOTORIST INJURED,MOTORIST KILLED,CONTRIBUTING FACTOR,VEHICLE TYPE
2022-03-26,MANHATTAN,40.7514,-73.983765,1.0,0.0,1,0,0,0,0,0,Traffic Control Disregarded,Bike
2022-04-25,STATEN ISLAND,40.54802,-74.1558,0.0,0.0,0,0,0,0,0,0,Fell Asleep,Station Wagon/Sport Utility Vehicle
2022-03-26,MANHATTAN,40.80765,-73.939255,2.0,0.0,0,0,0,0,2,0,Traffic Control Disregarded,Sedan
2022-03-25,BRONX,40.82583,-73.85777,1.0,0.0,1,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
2022-03-26,MANHATTAN,40.85019,-73.939644,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-26,BROOKLYN,40.702938,-73.95026,0.0,0.0,0,0,0,0,0,0,Unspecified,Sedan
2022-03-26,QUEENS,40.75868,-73.87552,0.0,0.0,0,0,0,0,0,0,Unspecified,Pick-up Truck
2022-03-26,QUEENS,40.739384,-73.82268,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Sedan
2022-03-26,STATEN ISLAND,40.608727,-74.08839,3.0,0.0,0,0,0,0,3,0,Unspecified,Station Wagon/Sport Utility Vehicle
2022-03-26,BRONX,40.863194,-73.86642,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-24,MANHATTAN,40.7802,-73.98755,0.0,0.0,0,0,0,0,0,0,Brakes Defective,Sedan
2022-03-26,BRONX,40.886936,-73.8499,1.0,0.0,0,0,0,0,1,0,Animals Action,Station Wagon/Sport Utility Vehicle
2022-03-26,BROOKLYN,40.662247,-73.93152,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Station Wagon/Sport Utility Vehicle
2022-03-26,QUEENS,40.68804,-73.83275,2.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
2022-04-21,QUEENS,40.75169,-73.88562,0.0,0.0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
2022-03-26,QUEENS,40.686234,-73.82418,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Sedan
2022-03-22,MANHATTAN,40.783146,-73.97833,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike
2022-03-26,BROOKLYN,40.59397,-73.97428,0.0,0.0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
2022-03-25,QUEENS,40.737614,-73.79646,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-26,BROOKLYN,40.675907,-73.969505,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi
2022-03-26,BROOKLYN,40.70239,-73.924644,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Sedan
